 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   5.100E-04   1.471E-04   1.931E-05   5.046E-04   7.240E-02
   5.000E-04   1.484E-04   1.832E-05   5.185E-04   7.435E-02
   4.800E-04   1.497E-04   1.685E-05   5.451E-04   7.840E-02
   4.500E-04   1.532E-04   1.519E-05   5.849E-04   8.573E-02
   4.000E-04   1.580E-04   1.367E-05   6.603E-04   1.006E-01
   3.800E-04   1.614E-04   1.361E-05   6.952E-04   1.080E-01
   3.600E-04   1.652E-04   1.397E-05   7.316E-04   1.162E-01
   3.400E-04   1.725E-04   1.492E-05   7.637E-04   1.257E-01
   3.300E-04   1.717E-04   1.566E-05   7.772E-04   1.301E-01
   3.200E-04   1.730E-04   1.659E-05   7.955E-04   1.353E-01
   3.150E-04   1.750E-04   1.718E-05   8.050E-04   1.382E-01
   3.100E-04   1.769E-04   1.783E-05   8.138E-04   1.411E-01
   3.080E-04   1.775E-04   1.811E-05   8.171E-04   1.422E-01
   3.050E-04   1.782E-04   1.855E-05   8.223E-04   1.439E-01
   3.000E-04   1.797E-04   1.938E-05   8.317E-04   1.470E-01
   2.900E-04   1.838E-04   2.132E-05   8.499E-04   1.532E-01
   2.800E-04   1.857E-04   2.375E-05   8.678E-04   1.596E-01
   2.600E-04   1.941E-04   3.057E-05   9.049E-04   1.741E-01
   2.500E-04   2.005E-04   3.531E-05   9.228E-04   1.821E-01
   2.200E-04   2.287E-04   5.857E-05   9.728E-04   2.088E-01
   2.159E-04   2.326E-04   6.330E-05   9.776E-04   2.127E-01
   2.000E-04   2.557E-04   8.731E-05   9.967E-04   2.291E-01
   1.662E-04   3.284E-04   1.930E-04   1.010E-03   2.700E-01
   1.650E-04   3.319E-04   1.990E-04   1.009E-03   2.717E-01
   1.250E-04   5.258E-04   6.128E-04   9.289E-04   3.527E-01
   1.235E-04   5.365E-04   6.405E-04   9.226E-04   3.573E-01
   1.130E-04   6.187E-04   8.714E-04   8.699E-04   3.950E-01
