 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  3.05E+00  2.64E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  2.50E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  2.31E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  2.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  1.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  1.80E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  1.43E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.18E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  7.52E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  7.37E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  2.98E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  2.84E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  1.97E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.10E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  8.39E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  7.45E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  7.01E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  6.58E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  6.17E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  5.77E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  5.39E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  5.03E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  4.68E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  4.35E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  4.03E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  3.82E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  3.44E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  3.17E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  2.91E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  2.67E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  2.44E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  2.22E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  2.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E-01  1.83E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  1.65E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  1.49E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  1.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.20E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.07E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  9.46E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  8.37E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  7.37E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  6.46E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  5.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  4.89E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  4.23E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  3.92E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  3.63E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  3.11E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  2.64E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  2.23E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  1.87E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  1.56E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  1.29E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.06E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  1.42E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.22E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  9.91E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  7.99E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  6.38E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  5.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  3.95E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  3.76E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  3.06E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  2.76E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  2.35E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  2.05E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  1.78E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  1.54E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.33E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.11E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  8.37E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  4.60E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  2.49E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  1.38E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  6.06E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  4.09E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  1.24E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  4.07E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  1.86E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  1.27E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  4.43E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  1.56E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  6.15E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  2.38E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  6.73E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.09E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  1.45E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  2.11E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  2.85E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  4.63E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  9.17E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  1.28E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  2.94E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  4.65E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
