 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.160E-05   1.705E-04   6.809E-04   2.284E-05   4.939E+00
   1.140E-05   1.809E-04   6.328E-04   2.457E-05   5.102E+00
   1.110E-05   1.951E-04   5.791E-04   2.266E-05   5.371E+00
   1.080E-05   2.075E-04   5.495E-04   2.237E-05   5.763E+00
   1.050E-05   2.181E-04   5.526E-04   2.374E-05   6.255E+00
   1.030E-05   2.242E-04   5.743E-04   2.244E-05   6.686E+00
   1.000E-05   2.314E-04   6.393E-04   2.363E-05   7.305E+00
   9.750E-06   2.360E-04   7.403E-04   2.086E-05   7.872E+00
   9.500E-06   2.393E-04   8.774E-04   2.191E-05   8.493E+00
   9.250E-06   2.411E-04   1.020E-03   1.854E-05   9.055E+00
   9.080E-06   2.415E-04   1.114E-03   1.874E-05   9.375E+00
