 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
3.000E-05 4.16E-01 2.40E-01 1.19E-02 1.09E+00 1.23E-01 3.81E-05 3.89E-02 5.93E-05 5.81E-02 2.07E-02 1.96E-02 2.013E+00
2.940E-05 4.20E-01 2.40E-01 1.29E-02 1.10E+00 1.29E-01 4.23E-05 3.95E-02 6.47E-05 6.67E-02 2.06E-02 1.96E-02 2.049E+00
2.780E-05 4.31E-01 2.41E-01 1.58E-02 1.14E+00 1.51E-01 5.81E-05 4.13E-02 8.26E-05 1.02E-01 2.04E-02 1.95E-02 2.158E+00
2.630E-05 4.39E-01 2.41E-01 1.87E-02 1.17E+00 1.85E-01 8.25E-05 4.29E-02 1.06E-04 1.71E-01 2.02E-02 1.95E-02 2.306E+00
2.500E-05 4.46E-01 2.42E-01 2.22E-02 1.20E+00 2.30E-01 1.20E-04 4.43E-02 1.33E-04 2.99E-01 2.00E-02 1.95E-02 2.523E+00
2.380E-05 4.52E-01 2.43E-01 2.66E-02 1.23E+00 3.17E-01 1.84E-04 4.44E-02 1.67E-04 5.26E-01 1.98E-02 1.95E-02 2.883E+00
2.270E-05 4.57E-01 2.43E-01 3.25E-02 1.27E+00 4.58E-01 2.69E-04 4.61E-02 2.09E-04 6.94E-01 1.96E-02 1.95E-02 3.241E+00
2.170E-05 4.60E-01 2.44E-01 4.05E-02 1.31E+00 6.20E-01 3.49E-04 5.19E-02 2.61E-04 5.40E-01 1.94E-02 1.95E-02 3.308E+00
2.080E-05 4.63E-01 2.44E-01 5.51E-02 1.36E+00 6.43E-01 3.24E-04 6.48E-02 3.25E-04 3.35E-01 1.92E-02 1.96E-02 3.203E+00
2.000E-05 4.64E-01 2.44E-01 1.94E-01 1.27E+00 5.58E-01 2.54E-04 8.25E-02 3.98E-04 2.16E-01 1.91E-02 1.96E-02 3.071E+00
1.920E-05 4.64E-01 2.46E-01 3.71E-01 1.14E+00 4.33E-01 1.74E-04 1.13E-01 4.95E-04 1.45E-01 1.89E-02 1.96E-02 2.954E+00
1.850E-05 4.67E-01 2.50E-01 4.85E-01 1.07E+00 3.39E-01 1.23E-04 1.52E-01 6.06E-04 1.07E-01 1.87E-02 1.96E-02 2.911E+00
1.790E-05 4.71E-01 2.53E-01 6.28E-01 9.66E-01 2.76E-01 9.43E-05 1.94E-01 7.26E-04 8.55E-02 1.85E-02 1.97E-02 2.912E+00
1.720E-05 4.75E-01 2.56E-01 7.43E-01 8.92E-01 2.21E-01 7.49E-05 2.69E-01 9.10E-04 6.84E-02 1.83E-02 1.97E-02 2.964E+00
1.670E-05 4.79E-01 2.59E-01 8.04E-01 8.58E-01 1.89E-01 6.82E-05 3.39E-01 1.08E-03 5.99E-02 1.81E-02 1.97E-02 3.027E+00
1.610E-05 4.84E-01 2.63E-01 8.66E-01 8.28E-01 1.60E-01 6.93E-05 4.61E-01 1.33E-03 5.27E-02 1.79E-02 1.98E-02 3.155E+00
1.560E-05 4.89E-01 2.66E-01 9.11E-01 8.10E-01 1.40E-01 7.82E-05 6.02E-01 1.59E-03 4.88E-02 1.77E-02 1.98E-02 3.306E+00
1.520E-05 4.93E-01 2.68E-01 9.44E-01 7.97E-01 1.27E-01 9.10E-05 7.53E-01 1.83E-03 4.67E-02 1.76E-02 1.98E-02 3.468E+00
1.470E-05 4.98E-01 2.71E-01 9.77E-01 7.82E-01 1.13E-01 1.15E-04 9.70E-01 2.16E-03 4.55E-02 1.74E-02 1.99E-02 3.695E+00
1.430E-05 5.01E-01 2.73E-01 1.00E+00 7.72E-01 1.06E-01 1.44E-04 1.15E+00 2.42E-03 4.56E-02 1.73E-02 1.99E-02 3.892E+00
1.390E-05 5.04E-01 2.74E-01 1.01E+00 7.63E-01 1.03E-01 1.82E-04 1.30E+00 2.68E-03 4.66E-02 1.72E-02 1.98E-02 4.044E+00
1.350E-05 5.06E-01 2.74E-01 1.03E+00 7.54E-01 1.03E-01 2.34E-04 1.44E+00 3.00E-03 4.88E-02 1.72E-02 1.98E-02 4.189E+00
