 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  6.90E+00  9.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  7.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  7.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  8.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  1.15E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.41E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  1.10E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  6.63E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  5.52E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  6.67E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  8.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  1.08E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  8.24E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  4.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E+00  3.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  3.28E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  3.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  3.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  4.54E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  9.37E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  4.05E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  3.21E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  2.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  2.74E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  2.62E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  2.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  2.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  2.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  1.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  1.80E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  1.43E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  1.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  7.48E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  7.33E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  2.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  2.82E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  1.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  1.09E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  8.31E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  7.38E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  6.94E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  6.51E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  6.11E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  5.71E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  5.34E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  4.98E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  4.63E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  4.30E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  3.99E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  3.78E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  3.40E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  3.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  2.88E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  2.64E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  2.41E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  2.20E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  2.00E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
