 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.05E+01  4.03E-14  0.00E+00  0.00E+00  1.49E-40  0.00E+00  6.13E-15  2.77E-14  6.52E-15  6.00E-18
  1.00E+01  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.72E-15  2.84E-14  3.25E-15  5.71E-18
  9.80E+00  3.68E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.56E-15  2.84E-14  2.81E-15  5.60E-18
  9.60E+00  3.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.41E-15  2.84E-14  2.59E-15  5.48E-18
  9.50E+00  3.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.34E-15  2.80E-14  2.54E-15  5.43E-18
  9.40E+00  3.51E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.26E-15  2.73E-14  2.54E-15  5.37E-18
  9.20E+00  3.20E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.11E-15  2.42E-14  2.70E-15  5.25E-18
  8.90E+00  2.66E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.90E-15  1.78E-14  3.90E-15  5.08E-18
  8.70E+00  2.76E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.75E-15  1.41E-14  8.68E-15  4.97E-18
  8.60E+00  3.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.68E-15  1.27E-14  1.30E-14  4.91E-18
  8.50E+00  2.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.61E-15  1.14E-14  9.28E-15  4.85E-18
  8.40E+00  2.13E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.54E-15  1.02E-14  6.63E-15  4.80E-18
  8.20E+00  1.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.39E-15  7.46E-15  6.69E-15  4.68E-18
  8.00E+00  1.88E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.25E-15  4.86E-15  9.69E-15  4.57E-18
  7.90E+00  2.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.18E-15  3.98E-15  1.20E-14  4.51E-18
  7.80E+00  2.16E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.10E-15  3.16E-15  1.43E-14  4.45E-18
  7.70E+00  2.18E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.02E-15  2.54E-15  1.53E-14  4.40E-18
  7.60E+00  2.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.95E-15  2.10E-15  1.41E-14  4.34E-18
  7.50E+00  1.72E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.87E-15  1.72E-15  1.16E-14  4.28E-18
  7.30E+00  1.22E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.72E-15  1.37E-15  7.10E-15  4.10E-18
  7.20E+00  1.08E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.65E-15  1.29E-15  5.87E-15  3.98E-18
  7.10E+00  1.05E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.57E-15  1.22E-15  5.70E-15  3.86E-18
  7.00E+00  1.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.49E-15  1.18E-15  7.87E-15  3.75E-18
  6.90E+00  9.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.42E-15  1.14E-15  4.55E-15  3.63E-18
  6.80E+00  7.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.34E-15  1.11E-15  3.49E-15  3.52E-18
  6.60E+00  7.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.19E-15  1.06E-15  3.27E-15  3.31E-18
  6.40E+00  8.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.03E-15  9.98E-16  4.90E-15  3.11E-18
  6.30E+00  1.15E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.91E-15  9.68E-16  7.62E-15  3.01E-18
  6.20E+00  1.41E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.88E-15  9.39E-16  1.03E-14  2.92E-18
  6.10E+00  1.10E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.81E-15  9.07E-16  7.31E-15  2.82E-18
  5.90E+00  6.63E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.65E-15  8.48E-16  3.13E-15  2.64E-18
  5.50E+00  5.52E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.34E-15  7.48E-16  2.44E-15  2.31E-18
  5.30E+00  6.67E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-15  7.10E-16  3.78E-15  2.15E-18
  5.20E+00  8.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.10E-15  6.91E-16  5.92E-15  2.08E-18
  5.10E+00  1.08E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.03E-15  6.75E-16  8.05E-15  2.01E-18
  5.00E+00  8.24E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-15  6.60E-16  5.64E-15  1.94E-18
  4.80E+00  4.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.79E-15  6.33E-16  2.44E-15  1.80E-18
  4.50E+00  3.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.56E-15  5.98E-16  1.67E-15  1.61E-18
  4.00E+00  3.28E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.20E-15  5.43E-16  1.54E-15  1.78E-18
  3.80E+00  3.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.07E-15  5.18E-16  1.58E-15  1.84E-18
  3.60E+00  3.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.38E-16  4.91E-16  1.74E-15  1.91E-18
  3.40E+00  4.54E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.17E-16  4.62E-16  3.26E-15  1.96E-18
  3.30E+00  9.37E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.59E-16  4.45E-16  8.17E-15  1.99E-18
  3.20E+00  4.05E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.03E-16  4.28E-16  2.91E-15  2.02E-18
  3.15E+00  3.21E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.75E-16  4.18E-16  2.11E-15  2.03E-18
  3.10E+00  2.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.48E-16  4.09E-16  1.77E-15  2.04E-18
  3.08E+00  2.74E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.37E-16  4.05E-16  1.69E-15  2.05E-18
  3.05E+00  2.62E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.22E-16  4.00E-16  1.60E-15  2.05E-18
  3.00E+00  2.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.96E-16  3.90E-16  1.50E-15  2.07E-18
  2.90E+00  2.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.45E-16  3.71E-16  1.39E-15  2.09E-18
  2.80E+00  2.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.95E-16  3.51E-16  1.32E-15  2.10E-18
  2.60E+00  1.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.03E-16  3.09E-16  1.21E-15  2.25E-18
  2.50E+00  1.80E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.59E-16  2.86E-16  1.15E-15  2.38E-18
  2.20E+00  1.43E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.39E-16  2.16E-16  9.73E-16  2.81E-18
  2.16E+00  1.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.25E-16  2.06E-16  9.46E-16  2.87E-18
  2.00E+00  1.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.72E-16  1.68E-16  8.35E-16  3.10E-18
  1.66E+00  7.48E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.13E-17  9.14E-17  5.75E-16  3.58E-18
  1.65E+00  7.33E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.87E-17  8.90E-17  5.65E-16  3.59E-18
  1.25E+00  2.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.87E-17  2.47E-17  2.52E-16  3.44E-18
  1.23E+00  2.82E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.74E-17  2.31E-17  2.41E-16  3.42E-18
  1.13E+00  1.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.87E-18  1.37E-17  1.71E-16  3.31E-18
  1.00E+00  1.09E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.13E-18  5.97E-18  9.90E-17  3.14E-18
  9.50E-01  8.31E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.76E-18  4.05E-18  7.63E-17  3.03E-18
  9.30E-01  7.38E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.32E-18  3.43E-18  6.80E-17  2.99E-18
  9.20E-01  6.94E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.12E-18  3.14E-18  6.41E-17  2.97E-18
  9.10E-01  6.51E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.93E-18  2.87E-18  6.03E-17  2.94E-18
  9.00E-01  6.11E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.76E-18  2.62E-18  5.67E-17  2.92E-18
  8.90E-01  5.71E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.59E-18  2.39E-18  5.32E-17  2.90E-18
  8.80E-01  5.34E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.44E-18  2.17E-18  4.98E-17  2.87E-18
  8.70E-01  4.98E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.30E-18  1.96E-18  4.65E-17  2.85E-18
  8.60E-01  4.63E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.17E-18  1.78E-18  4.34E-17  2.83E-18
  8.50E-01  4.30E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.05E-18  1.60E-18  4.04E-17  2.80E-18
  8.40E-01  3.99E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.44E-19  1.44E-18  3.75E-17  2.78E-18
