 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.21E+01  5.04E-14  0.00E+00  0.00E+00  8.46E-36  0.00E+00  7.64E-15  2.09E-14  2.18E-14  6.91E-18
  1.20E+01  5.29E-14  0.00E+00  0.00E+00  5.04E-36  0.00E+00  7.53E-15  2.14E-14  2.40E-14  6.85E-18
  1.19E+01  5.32E-14  0.00E+00  0.00E+00  2.99E-36  0.00E+00  7.43E-15  2.18E-14  2.40E-14  6.80E-18
  1.18E+01  5.33E-14  0.00E+00  0.00E+00  1.76E-36  0.00E+00  7.32E-15  2.22E-14  2.38E-14  6.74E-18
  1.17E+01  5.62E-14  0.00E+00  0.00E+00  1.02E-36  0.00E+00  7.22E-15  2.26E-14  2.65E-14  6.68E-18
  1.16E+01  6.41E-14  0.00E+00  0.00E+00  5.88E-37  0.00E+00  7.15E-15  2.29E-14  3.41E-14  6.63E-18
  1.15E+01  8.27E-14  0.00E+00  0.00E+00  3.34E-37  0.00E+00  9.81E-15  2.32E-14  4.97E-14  6.57E-18
  1.14E+01  1.05E-13  0.00E+00  0.00E+00  1.88E-37  0.00E+00  7.12E-15  2.35E-14  7.47E-14  6.51E-18
  1.13E+01  1.22E-13  0.00E+00  0.00E+00  1.04E-37  0.00E+00  6.95E-15  2.39E-14  9.10E-14  6.45E-18
  1.12E+01  1.04E-13  0.00E+00  0.00E+00  5.76E-38  0.00E+00  6.83E-15  2.44E-14  7.32E-14  6.40E-18
  1.11E+01  7.80E-14  0.00E+00  0.00E+00  3.13E-38  0.00E+00  6.72E-15  2.48E-14  4.64E-14  6.34E-18
  1.09E+01  5.14E-14  0.00E+00  0.00E+00  9.01E-39  0.00E+00  6.54E-15  2.57E-14  1.92E-14  6.23E-18
  1.05E+01  4.07E-14  0.00E+00  0.00E+00  6.50E-40  0.00E+00  6.19E-15  2.83E-14  6.29E-15  6.00E-18
  1.00E+01  3.79E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.78E-15  2.91E-14  3.11E-15  5.71E-18
  9.80E+00  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.62E-15  2.91E-14  2.68E-15  5.60E-18
  9.60E+00  3.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.47E-15  2.90E-14  2.46E-15  5.48E-18
  9.50E+00  3.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.39E-15  2.86E-14  2.42E-15  5.43E-18
  9.40E+00  3.56E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.32E-15  2.79E-14  2.42E-15  5.37E-18
  9.20E+00  3.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.17E-15  2.48E-14  2.57E-15  5.25E-18
  8.90E+00  2.69E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.95E-15  1.82E-14  3.75E-15  5.08E-18
  8.70E+00  2.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.81E-15  1.45E-14  8.42E-15  4.97E-18
  8.60E+00  3.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.73E-15  1.30E-14  1.27E-14  4.91E-18
  8.50E+00  2.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.66E-15  1.17E-14  9.01E-15  4.85E-18
  8.40E+00  2.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.59E-15  1.04E-14  6.42E-15  4.80E-18
  8.20E+00  1.86E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.45E-15  7.64E-15  6.48E-15  4.68E-18
  8.00E+00  1.87E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.30E-15  4.97E-15  9.43E-15  4.57E-18
  7.90E+00  2.00E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.23E-15  4.08E-15  1.17E-14  4.51E-18
  7.80E+00  2.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.15E-15  3.24E-15  1.40E-14  4.45E-18
  7.70E+00  2.16E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.07E-15  2.60E-15  1.49E-14  4.40E-18
  7.60E+00  1.99E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.00E-15  2.15E-15  1.38E-14  4.34E-18
  7.50E+00  1.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.92E-15  1.76E-15  1.13E-14  4.28E-18
  7.30E+00  1.21E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.77E-15  1.40E-15  6.89E-15  4.10E-18
  7.20E+00  1.07E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.69E-15  1.32E-15  5.68E-15  3.98E-18
  7.10E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.62E-15  1.25E-15  5.51E-15  3.86E-18
