 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.235E-04 7.15E-02 3.85E-02 1.80E-04 4.14E-02 1.14E-02 1.19E-07 1.04E-02 1.84E-07 3.54E-04 1.69E-02 3.77E-02 2.283E-01
1.130E-04 8.02E-02 5.07E-02 1.88E-04 5.62E-02 1.30E-02 1.69E-07 1.13E-02 2.62E-07 4.55E-04 1.77E-02 3.83E-02 2.681E-01
1.000E-04 9.59E-02 7.25E-02 2.13E-04 8.42E-02 1.59E-02 2.73E-07 1.27E-02 4.27E-07 6.37E-04 1.89E-02 3.85E-02 3.394E-01
9.500E-05 1.04E-01 8.30E-02 2.17E-04 9.96E-02 1.73E-02 3.33E-07 1.33E-02 5.25E-07 7.30E-04 1.94E-02 3.83E-02 3.755E-01
9.300E-05 1.07E-01 8.76E-02 2.20E-04 1.07E-01 1.79E-02 3.62E-07 1.36E-02 5.71E-07 7.73E-04 1.96E-02 3.83E-02 3.916E-01
9.200E-05 1.08E-01 8.99E-02 2.26E-04 1.11E-01 1.82E-02 3.77E-07 1.37E-02 5.97E-07 7.95E-04 1.97E-02 3.82E-02 4.000E-01
9.100E-05 1.10E-01 9.23E-02 2.26E-04 1.15E-01 1.85E-02 3.94E-07 1.39E-02 6.23E-07 8.18E-04 1.98E-02 3.82E-02 4.087E-01
9.000E-05 1.12E-01 9.48E-02 2.33E-04 1.19E-01 1.89E-02 4.11E-07 1.40E-02 6.51E-07 8.42E-04 1.98E-02 3.81E-02 4.176E-01
8.900E-05 1.13E-01 9.73E-02 2.38E-04 1.24E-01 1.92E-02 4.29E-07 1.42E-02 6.81E-07 8.67E-04 1.99E-02 3.81E-02 4.268E-01
8.800E-05 1.15E-01 9.99E-02 2.41E-04 1.28E-01 1.95E-02 4.48E-07 1.43E-02 7.13E-07 8.93E-04 2.00E-02 3.80E-02 4.363E-01
8.700E-05 1.17E-01 1.03E-01 2.45E-04 1.33E-01 1.99E-02 4.69E-07 1.45E-02 7.46E-07 9.19E-04 2.01E-02 3.79E-02 4.462E-01
8.600E-05 1.18E-01 1.05E-01 2.52E-04 1.38E-01 2.03E-02 4.90E-07 1.46E-02 7.81E-07 9.47E-04 2.02E-02 3.79E-02 4.563E-01
8.500E-05 1.20E-01 1.08E-01 2.54E-04 1.44E-01 2.07E-02 5.13E-07 1.48E-02 8.19E-07 9.76E-04 2.03E-02 3.78E-02 4.668E-01
8.400E-05 1.22E-01 1.11E-01 2.60E-04 1.49E-01 2.10E-02 5.37E-07 1.50E-02 8.58E-07 1.01E-03 2.04E-02 3.77E-02 4.778E-01
8.330E-05 1.23E-01 1.13E-01 2.63E-04 1.53E-01 2.13E-02 5.54E-07 1.51E-02 8.88E-07 1.03E-03 2.04E-02 3.77E-02 4.857E-01
8.200E-05 1.26E-01 1.17E-01 2.70E-04 1.61E-01 2.18E-02 5.89E-07 1.53E-02 9.45E-07 1.07E-03 2.05E-02 3.75E-02 5.009E-01
8.100E-05 1.28E-01 1.20E-01 2.75E-04 1.68E-01 2.23E-02 6.18E-07 1.55E-02 9.93E-07 1.10E-03 2.06E-02 3.74E-02 5.130E-01
8.000E-05 1.30E-01 1.23E-01 2.81E-04 1.74E-01 2.27E-02 6.48E-07 1.57E-02 1.04E-06 1.14E-03 2.07E-02 3.73E-02 5.257E-01
7.900E-05 1.32E-01 1.27E-01 2.85E-04 1.81E-01 2.32E-02 6.81E-07 1.59E-02 1.10E-06 1.17E-03 2.09E-02 3.72E-02 5.388E-01
7.800E-05 1.35E-01 1.30E-01 2.93E-04 1.88E-01 2.36E-02 7.15E-07 1.60E-02 1.16E-06 1.21E-03 2.10E-02 3.70E-02 5.523E-01
7.700E-05 1.38E-01 1.33E-01 2.94E-04 1.96E-01 2.41E-02 7.52E-07 1.62E-02 1.22E-06 1.25E-03 2.11E-02 3.69E-02 5.662E-01
7.600E-05 1.40E-01 1.37E-01 3.08E-04 2.03E-01 2.46E-02 7.91E-07 1.64E-02 1.28E-06 1.29E-03 2.12E-02 3.67E-02 5.807E-01
7.500E-05 1.43E-01 1.40E-01 3.19E-04 2.11E-01 2.51E-02 8.32E-07 1.66E-02 1.35E-06 1.33E-03 2.13E-02 3.65E-02 5.955E-01
7.400E-05 1.46E-01 1.44E-01 3.34E-04 2.19E-01 2.56E-02 8.77E-07 1.69E-02 1.43E-06 1.38E-03 2.15E-02 3.63E-02 6.108E-01
7.300E-05 1.49E-01 1.47E-01 3.43E-04 2.28E-01 2.61E-02 9.24E-07 1.71E-02 1.51E-06 1.42E-03 2.16E-02 3.60E-02 6.265E-01
7.140E-05 1.55E-01 1.53E-01 3.57E-04 2.42E-01 2.70E-02 1.01E-06 1.74E-02 1.65E-06 1.50E-03 2.18E-02 3.57E-02 6.526E-01
7.100E-05 1.56E-01 1.54E-01 3.60E-04 2.45E-01 2.72E-02 1.03E-06 1.75E-02 1.69E-06 1.52E-03 2.18E-02 3.56E-02 6.593E-01
7.000E-05 1.59E-01 1.58E-01 3.69E-04 2.55E-01 2.78E-02 1.09E-06 1.78E-02 1.78E-06 1.58E-03 2.20E-02 3.53E-02 6.764E-01
6.900E-05 1.63E-01 1.61E-01 3.78E-04 2.64E-01 2.84E-02 1.15E-06 1.80E-02 1.89E-06 1.63E-03 2.21E-02 3.50E-02 6.940E-01
6.800E-05 1.67E-01 1.65E-01 3.96E-04 2.74E-01 2.91E-02 1.22E-06 1.82E-02 2.00E-06 1.69E-03 2.22E-02 3.48E-02 7.122E-01
6.700E-05 1.70E-01 1.68E-01 4.13E-04 2.85E-01 2.97E-02 1.29E-06 1.85E-02 2.13E-06 1.75E-03 2.23E-02 3.45E-02 7.310E-01
6.600E-05 1.74E-01 1.72E-01 4.29E-04 2.96E-01 3.04E-02 1.37E-06 1.88E-02 2.26E-06 1.81E-03 2.24E-02 3.42E-02 7.503E-01
6.500E-05 1.78E-01 1.76E-01 4.40E-04 3.08E-01 3.11E-02 1.45E-06 1.90E-02 2.40E-06 1.88E-03 2.25E-02 3.39E-02 7.705E-01
6.400E-05 1.82E-01 1.80E-01 4.51E-04 3.20E-01 3.18E-02 1.54E-06 1.93E-02 2.56E-06 1.95E-03 2.27E-02 3.35E-02 7.913E-01
6.300E-05 1.87E-01 1.83E-01 4.63E-04 3.32E-01 3.26E-02 1.64E-06 1.96E-02 2.73E-06 2.03E-03 2.28E-02 3.32E-02 8.129E-01
6.250E-05 1.89E-01 1.85E-01 4.72E-04 3.39E-01 3.30E-02 1.69E-06 1.98E-02 2.82E-06 2.06E-03 2.28E-02 3.30E-02 8.240E-01
6.200E-05 1.91E-01 1.87E-01 4.83E-04 3.45E-01 3.34E-02 1.74E-06 1.99E-02 2.91E-06 2.10E-03 2.29E-02 3.28E-02 8.353E-01
6.100E-05 1.96E-01 1.91E-01 5.04E-04 3.59E-01 3.42E-02 1.86E-06 2.02E-02 3.11E-06 2.19E-03 2.30E-02 3.24E-02 8.585E-01
6.000E-05 2.01E-01 1.94E-01 5.31E-04 3.74E-01 3.50E-02 1.98E-06 2.05E-02 3.32E-06 2.27E-03 2.31E-02 3.20E-02 8.824E-01
5.900E-05 2.07E-01 1.97E-01 5.54E-04 3.89E-01 3.59E-02 2.12E-06 2.09E-02 3.55E-06 2.37E-03 2.33E-02 3.16E-02 9.072E-01
5.800E-05 2.12E-01 2.01E-01 5.81E-04 4.04E-01 3.68E-02 2.27E-06 2.12E-02 3.81E-06 2.46E-03 2.34E-02 3.12E-02 9.328E-01
5.700E-05 2.18E-01 2.04E-01 6.08E-04 4.21E-01 3.77E-02 2.43E-06 2.16E-02 4.08E-06 2.57E-03 2.35E-02 3.08E-02 9.591E-01
5.600E-05 2.24E-01 2.06E-01 6.35E-04 4.38E-01 3.87E-02 2.60E-06 2.19E-02 4.38E-06 2.68E-03 2.36E-02 3.03E-02 9.861E-01
