 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  8.40E+00  3.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.46E-15  1.78E-14  1.06E-14  4.80E-18
  8.20E+00  2.82E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.34E-15  1.31E-14  1.07E-14  4.68E-18
  8.00E+00  2.84E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.21E-15  8.60E-15  1.56E-14  4.57E-18
  7.90E+00  3.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.14E-15  7.07E-15  1.94E-14  4.51E-18
  7.80E+00  3.28E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.08E-15  5.62E-15  2.31E-14  4.45E-18
  7.70E+00  3.33E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.01E-15  4.52E-15  2.47E-14  4.40E-18
  7.60E+00  3.05E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.94E-15  3.75E-15  2.28E-14  4.34E-18
  7.50E+00  2.57E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.87E-15  3.07E-15  1.87E-14  4.28E-18
  7.30E+00  1.76E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.73E-15  2.46E-15  1.14E-14  4.10E-18
  7.20E+00  1.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.66E-15  2.32E-15  9.36E-15  3.98E-18
  7.10E+00  1.49E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.60E-15  2.20E-15  9.08E-15  3.86E-18
  7.00E+00  1.83E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.53E-15  2.13E-15  1.26E-14  3.75E-18
  6.90E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.46E-15  2.07E-15  7.20E-15  3.63E-18
  6.80E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.39E-15  2.02E-15  5.45E-15  3.52E-18
  6.60E+00  1.02E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.24E-15  1.93E-15  5.07E-15  3.31E-18
  6.40E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.09E-15  1.83E-15  7.76E-15  3.11E-18
  6.30E+00  1.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.98E-15  1.78E-15  1.23E-14  3.01E-18
  6.20E+00  2.13E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.96E-15  1.73E-15  1.66E-14  2.92E-18
  6.10E+00  1.63E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.88E-15  1.68E-15  1.18E-14  2.82E-18
  5.90E+00  9.14E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.73E-15  1.57E-15  4.84E-15  2.64E-18
  5.50E+00  7.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.43E-15  1.40E-15  3.66E-15  2.31E-18
  5.30E+00  9.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.28E-15  1.33E-15  5.90E-15  2.15E-18
  5.20E+00  1.30E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.20E-15  1.30E-15  9.48E-15  2.08E-18
  5.10E+00  1.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.13E-15  1.27E-15  1.30E-14  2.01E-18
  5.00E+00  1.23E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.05E-15  1.25E-15  9.00E-15  1.94E-18
  4.80E+00  6.73E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.89E-15  1.20E-15  3.64E-15  1.80E-18
  4.50E+00  5.15E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.67E-15  1.14E-15  2.35E-15  1.61E-18
  4.00E+00  4.45E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.30E-15  1.04E-15  2.11E-15  1.78E-18
  3.80E+00  4.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.16E-15  9.92E-16  2.18E-15  1.84E-18
  3.60E+00  4.43E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.03E-15  9.42E-16  2.46E-15  1.91E-18
  3.40E+00  6.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.98E-16  8.87E-16  5.06E-15  1.96E-18
  3.30E+00  1.52E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.37E-16  8.56E-16  1.35E-14  1.99E-18
  3.20E+00  6.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.76E-16  8.22E-16  4.49E-15  2.02E-18
  3.15E+00  4.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.47E-16  8.04E-16  3.13E-15  2.03E-18
  3.10E+00  4.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.17E-16  7.86E-16  2.55E-15  2.04E-18
  3.08E+00  3.90E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.06E-16  7.79E-16  2.41E-15  2.05E-18
  3.05E+00  3.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.89E-16  7.69E-16  2.26E-15  2.05E-18
  3.00E+00  3.51E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.61E-16  7.51E-16  2.09E-15  2.07E-18
  2.90E+00  3.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.06E-16  7.14E-16  1.91E-15  2.09E-18
  2.80E+00  3.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.52E-16  6.75E-16  1.80E-15  2.10E-18
  2.60E+00  2.69E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.50E-16  5.94E-16  1.65E-15  2.25E-18
  2.50E+00  2.53E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.01E-16  5.51E-16  1.58E-15  2.38E-18
  2.20E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.69E-16  4.15E-16  1.35E-15  2.81E-18
  2.16E+00  1.96E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.52E-16  3.96E-16  1.31E-15  2.87E-18
  2.00E+00  1.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.93E-16  3.23E-16  1.17E-15  3.10E-18
  1.66E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.15E-17  1.76E-16  8.25E-16  3.58E-18
  1.65E+00  1.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.86E-17  1.71E-16  8.12E-16  3.59E-18
  1.25E+00  4.47E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.10E-17  4.76E-17  3.78E-16  3.44E-18
  1.23E+00  4.27E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.96E-17  4.45E-17  3.63E-16  3.42E-18
  1.13E+00  2.98E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.11E-17  2.63E-17  2.61E-16  3.31E-18
  1.00E+00  1.69E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.65E-18  1.15E-17  1.53E-16  3.14E-18
  9.50E-01  1.29E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.11E-18  7.80E-18  1.18E-16  3.03E-18
  9.30E-01  1.15E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.61E-18  6.59E-18  1.06E-16  2.99E-18
  9.20E-01  1.08E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.39E-18  6.04E-18  9.97E-17  2.97E-18
  9.10E-01  1.02E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-18  5.53E-18  9.39E-17  2.94E-18
  9.00E-01  9.53E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.98E-18  5.04E-18  8.83E-17  2.92E-18
  8.90E-01  8.93E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.80E-18  4.59E-18  8.29E-17  2.90E-18
  8.80E-01  8.35E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.63E-18  4.17E-18  7.77E-17  2.87E-18
  8.70E-01  7.79E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.47E-18  3.78E-18  7.26E-17  2.85E-18
  8.60E-01  7.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.32E-18  3.42E-18  6.78E-17  2.83E-18
  8.50E-01  6.74E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.19E-18  3.08E-18  6.32E-17  2.80E-18
  8.40E-01  6.26E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-18  2.77E-18  5.87E-17  2.78E-18
