 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.29E+01  3.96E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.01E-15  8.90E-15  2.57E-14  7.18E-18
  1.28E+01  5.17E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.92E-15  9.01E-15  3.77E-14  7.15E-18
  1.27E+01  5.95E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.83E-15  9.11E-15  4.56E-14  7.12E-18
  1.26E+01  5.32E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.74E-15  9.21E-15  3.93E-14  7.09E-18
  1.25E+01  4.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.66E-15  9.31E-15  2.89E-14  7.06E-18
  1.22E+01  3.65E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.41E-15  9.57E-15  2.25E-14  6.97E-18
  1.21E+01  3.99E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.32E-15  9.69E-15  2.59E-14  6.91E-18
  1.20E+01  4.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.24E-15  9.82E-15  2.86E-14  6.85E-18
  1.19E+01  4.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.16E-15  9.95E-15  2.85E-14  6.80E-18
  1.18E+01  4.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.09E-15  1.01E-14  2.83E-14  6.74E-18
  1.17E+01  4.57E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.01E-15  1.02E-14  3.15E-14  6.68E-18
  1.16E+01  5.47E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.96E-15  1.03E-14  4.05E-14  6.63E-18
  1.15E+01  7.48E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.40E-15  1.03E-14  5.91E-14  6.57E-18
  1.14E+01  1.03E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.90E-15  1.04E-14  8.89E-14  6.51E-18
  1.13E+01  1.23E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.79E-15  1.06E-14  1.08E-13  6.45E-18
  1.12E+01  1.02E-13  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.71E-15  1.07E-14  8.72E-14  6.40E-18
  1.11E+01  6.97E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.63E-15  1.08E-14  5.53E-14  6.34E-18
  1.09E+01  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.50E-15  1.10E-14  2.29E-14  6.23E-18
  1.05E+01  2.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.25E-15  1.19E-14  7.46E-15  6.00E-18
  1.00E+01  1.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.97E-15  1.18E-14  3.67E-15  5.71E-18
  9.80E+00  1.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.86E-15  1.17E-14  3.15E-15  5.60E-18
  9.60E+00  1.72E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.75E-15  1.15E-14  2.89E-15  5.48E-18
  9.50E+00  1.68E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.70E-15  1.13E-14  2.84E-15  5.43E-18
  9.40E+00  1.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.65E-15  1.09E-14  2.84E-15  5.37E-18
  9.20E+00  1.52E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.55E-15  9.59E-15  3.02E-15  5.25E-18
  8.90E+00  1.38E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.41E-15  6.93E-15  4.43E-15  5.08E-18
  8.70E+00  1.78E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.31E-15  5.43E-15  1.00E-14  4.97E-18
  8.60E+00  2.23E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.27E-15  4.84E-15  1.51E-14  4.91E-18
  8.50E+00  1.73E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.22E-15  4.33E-15  1.07E-14  4.85E-18
  8.40E+00  1.36E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.18E-15  3.84E-15  7.63E-15  4.80E-18
  8.20E+00  1.26E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.09E-15  2.78E-15  7.70E-15  4.68E-18
  8.00E+00  1.50E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.00E-15  1.79E-15  1.12E-14  4.57E-18
