 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  5.70E-01  1.73E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  1.43E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.17E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  1.48E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  1.03E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  8.34E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  6.66E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  5.27E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  4.13E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  3.93E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  3.20E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  2.88E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  2.46E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  2.14E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  1.86E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  1.61E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.39E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.16E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  8.76E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  4.82E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  2.61E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  1.45E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  6.35E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  4.28E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  1.30E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  4.29E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  1.97E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  1.35E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  4.79E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  1.76E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  7.47E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  3.41E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  1.12E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.58E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  1.80E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  2.43E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  3.17E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  5.07E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  1.00E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  1.40E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  3.24E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
